target,compressor_name,compressor_level,compression_elapsed_time,compression_cpu_time,compression_max_rss,size,decompression_elapsed_time,decompression_cpu_time,decompression_max_rss
data/hg38.2bit,brotli,0,18.07,17.65,14000,734235796,11.85,11.5,6688
data/hg38.2bit,brotli,1,17.8,17.5,13028,734235796,11.94,11.4,6716
data/hg38.2bit,brotli,2,20.19,19.900000000000002,13636,733734035,11.78,11.44,6740
data/hg38.2bit,brotli,3,22.05,21.77,14316,733491109,11.61,11.39,6688
data/hg38.2bit,brotli,4,28.49,28.25,29408,724437227,11.29,10.94,8104
data/hg38.2bit,brotli,5,59.1,58.74,41212,708741454,11.16,10.92,7720
data/hg38.2bit,brotli,6,89.17,88.57000000000001,41484,703287897,11.15,10.91,8072
data/hg38.2bit,brotli,7,149.14,148.23999999999998,50272,695712360,11.24,11.0,8096
data/hg38.2bit,brotli,8,166.19,165.26000000000002,57020,695001542,11.2,10.92,7912
data/hg38.2bit,brotli,9,530.35,527.62,78640,686981119,11.44,11.02,7760
data/hg38.2bit,brotli,10,5430.31,5410.69,855820,673107999,19.96,19.63,7428
data/hg38.2bit,brotli,11,5435.66,5415.879999999999,854804,673107999,19.7,19.37,7272
data/hg38.2bit,bzip2,1,247.64,246.37,2292,745131179,115.67,114.99000000000001,1568
data/hg38.2bit,bzip2,2,243.18,241.99,3156,740389257,120.4,119.66,2048
data/hg38.2bit,bzip2,3,244.38,243.26,3856,737796434,121.96,121.1,2288
data/hg38.2bit,bzip2,4,247.98,246.76000000000002,4752,736014163,123.03,122.24,2836
data/hg38.2bit,bzip2,5,252.13,250.89000000000001,5548,734620463,124.11,123.33,3120
data/hg38.2bit,bzip2,6,254.21,252.94,6248,733330198,125.8,125.08,3612
data/hg38.2bit,bzip2,7,257.24,256.05,6996,732486097,127.57,126.87,3900
data/hg38.2bit,bzip2,8,255.31,253.99,7684,731634308,123.08,122.35,4340
data/hg38.2bit,bzip2,9,263.02,261.71,8648,730808517,122.03,121.16,4856
data/hg38.2bit,gzip,1,64.75,64.3,1916,735792246,17.84,17.61,1672
data/hg38.2bit,gzip,2,65.93,65.5,1820,734845584,17.28,17.04,1744
data/hg38.2bit,gzip,3,67.79,67.21,1920,734083378,17.13,16.91,1756
data/hg38.2bit,gzip,4,71.39,70.92999999999999,1860,732383242,16.92,16.69,1756
data/hg38.2bit,gzip,5,73.15,72.6,1948,731712095,16.86,16.61,1792
data/hg38.2bit,gzip,6,76.35,75.88000000000001,1920,731423452,16.86,16.55,1620
data/hg38.2bit,gzip,7,78.63,78.03,1876,731270675,16.94,16.619999999999997,1800
data/hg38.2bit,gzip,8,86.03,85.51,1820,730993623,16.88,16.6,1716
data/hg38.2bit,gzip,9,106.33,105.71,2004,730893709,16.89,16.62,1700
data/hg38.2bit,seven_zip,1,243.36,242.26000000000002,4652,714933747,110.14,109.41,4620
data/hg38.2bit,seven_zip,3,298.03,296.54,11868,696506446,105.7,105.05000000000001,5244
data/hg38.2bit,seven_zip,5,649.1,646.27,192996,666497831,102.54,101.88,20740
data/hg38.2bit,seven_zip,7,690.58,687.5,381320,662907143,101.97,101.28,37100
data/hg38.2bit,seven_zip,9,840.5,835.9000000000001,692452,659486454,101.16,100.53,69800
data/hg38.2bit,xz,0,302.84,301.34,4400,710249844,112.79,112.12,2052
data/hg38.2bit,xz,1,342.97,341.43,10460,696962432,110.89,110.2,2856
data/hg38.2bit,xz,2,402.66,400.91999999999996,18096,691388372,110.22,109.52000000000001,3892
data/hg38.2bit,xz,3,497.4,495.04999999999995,33424,687361920,110.05,109.33,5904
